name,Type,block_id,length,grade,elevation,speed_limit,underground,direction,previous_segment,next_segment,straight_segment,diverging_segment,station_name,station_side
yard,Station,0,0,0,0,14,FALSE,BIDIRECTIONAL,,1,,,Yard,both
a1,TrackSegment,1,50,0,0,14,FALSE,BIDIRECTIONAL,0,2,,,,
a2,TrackSegment,2,50,0,0,14,FALSE,BIDIRECTIONAL,1,3,,,,
a3,LevelCrossing,3,50,0,0,14,FALSE,BIDIRECTIONAL,2,4,,,,
a4,TrackSegment,4,50,0,0,14,FALSE,BIDIRECTIONAL,3,5,,,,
a5,TrackSwitch,5,50,0,0,14,FALSE,BIDIRECTIONAL,4,,6,11,,
b6,TrackSegment,6,50,0,0,14,FALSE,BIDIRECTIONAL,5,7,,,,
b7,TrackSegment,7,50,0,0,14,FALSE,BIDIRECTIONAL,6,8,,,,
b8,TrackSegment,8,50,0,0,14,FALSE,BIDIRECTIONAL,7,9,,,,
b9,TrackSegment,9,50,0,0,14,FALSE,BIDIRECTIONAL,8,10,,,,
b10,Station,10,50,0,0,14,FALSE,BIDIRECTIONAL,9,,,,Station B,Right
c11,TrackSegment,11,50,0,0,14,FALSE,BIDIRECTIONAL,5,12,,,,
c12,TrackSegment,12,50,0,0,14,FALSE,BIDIRECTIONAL,11,13,,,,
c13,TrackSegment,13,50,0,0,14,FALSE,BIDIRECTIONAL,12,14,,,,
c14,TrackSegment,14,50,0,0,14,FALSE,BIDIRECTIONAL,13,15,,,,
c15,Station,15,50,0,0,14,FALSE,BIDIRECTIONAL,14,,,,Station C,Right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,`,,,,,
